epoch	train_loss	train_acc	test_loss	test_acc	width	lr	nonlin	criterion	parametrization
19	2.256104	0.159220	2.317063	0.155100	2048	0.125000	relu	xent	sp
20	2.234332	0.170560	2.323716	0.149400	2048	0.125000	relu	xent	sp
1	2.311394	0.119400	2.314126	0.130400	256	0.250000	relu	xent	sp
2	2.303947	0.105520	2.302580	0.100000	256	0.250000	relu	xent	sp
3	2.302593	0.100080	2.302585	0.100000	256	0.250000	relu	xent	sp
4	2.302543	0.100040	2.302585	0.100000	256	0.250000	relu	xent	sp
5	2.302539	0.100020	2.302585	0.100000	256	0.250000	relu	xent	sp
6	2.302539	0.100020	2.302585	0.100000	256	0.250000	relu	xent	sp
7	2.302539	0.100020	2.302585	0.100000	256	0.250000	relu	xent	sp
8	2.302539	0.100020	2.302585	0.100000	256	0.250000	relu	xent	sp
9	2.302539	0.100020	2.302585	0.100000	256	0.250000	relu	xent	sp
10	2.302539	0.100020	2.302585	0.100000	256	0.250000	relu	xent	sp
11	2.302539	0.100020	2.302585	0.100000	256	0.250000	relu	xent	sp
12	2.302539	0.100020	2.302585	0.100000	256	0.250000	relu	xent	sp
13	2.302539	0.100020	2.302585	0.100000	256	0.250000	relu	xent	sp
14	2.302539	0.100020	2.302585	0.100000	256	0.250000	relu	xent	sp
15	2.302539	0.100020	2.302585	0.100000	256	0.250000	relu	xent	sp
16	2.302539	0.100020	2.302585	0.100000	256	0.250000	relu	xent	sp
17	2.302539	0.100020	2.302585	0.100000	256	0.250000	relu	xent	sp
18	2.302539	0.100020	2.302585	0.100000	256	0.250000	relu	xent	sp
19	2.302539	0.100020	2.302585	0.100000	256	0.250000	relu	xent	sp
20	2.302539	0.100020	2.302585	0.100000	256	0.250000	relu	xent	sp
1	2.486387	0.180000	2.557479	0.158800	2048	0.250000	relu	xent	sp
2	2.336786	0.141420	2.381928	0.156800	2048	0.250000	relu	xent	sp
3	2.314168	0.111880	2.302577	0.100100	2048	0.250000	relu	xent	sp
4	2.302555	0.100340	2.302577	0.100100	2048	0.250000	relu	xent	sp
5	2.302621	0.100120	2.302577	0.100100	2048	0.250000	relu	xent	sp
6	2.302585	0.100000	2.302577	0.100100	2048	0.250000	relu	xent	sp
7	2.302585	0.100000	2.302577	0.100100	2048	0.250000	relu	xent	sp
8	2.302850	0.100220	2.302574	0.100100	2048	0.250000	relu	xent	sp
9	2.302604	0.100060	2.302571	0.100100	2048	0.250000	relu	xent	sp
10	2.302732	0.100140	2.302574	0.100100	2048	0.250000	relu	xent	sp
11	2.302653	0.100100	2.302575	0.100100	2048	0.250000	relu	xent	sp
12	2.302452	0.100280	2.302575	0.100100	2048	0.250000	relu	xent	sp
13	2.302493	0.100040	2.302575	0.100100	2048	0.250000	relu	xent	sp
14	2.302493	0.100040	2.302575	0.100100	2048	0.250000	relu	xent	sp
15	2.302493	0.100040	2.302575	0.100100	2048	0.250000	relu	xent	sp
16	2.302493	0.100040	2.302575	0.100100	2048	0.250000	relu	xent	sp
17	2.302493	0.100040	2.302575	0.100100	2048	0.250000	relu	xent	sp
18	2.302493	0.100040	2.302575	0.100100	2048	0.250000	relu	xent	sp
19	2.302493	0.100040	2.302575	0.100100	2048	0.250000	relu	xent	sp
20	2.302493	0.100040	2.302575	0.100100	2048	0.250000	relu	xent	sp
1	nan	0.101340	nan	0.100000	256	0.500000	relu	xent	sp
1	nan	0.100860	nan	0.100000	2048	0.500000	relu	xent	sp
