epoch	train_loss	train_acc	test_loss	test_acc	width	lr	nonlin	criterion	parametrization
12	1.068655	0.635180	1.328475	0.530000	2048	0.000977	relu	xent	sp
13	1.020894	0.652060	1.335707	0.531800	2048	0.000977	relu	xent	sp
14	0.976764	0.669600	1.342817	0.528500	2048	0.000977	relu	xent	sp
15	0.927608	0.688380	1.325221	0.539000	2048	0.000977	relu	xent	sp
16	0.883801	0.706340	1.334511	0.545100	2048	0.000977	relu	xent	sp
17	0.838926	0.721440	1.369058	0.532500	2048	0.000977	relu	xent	sp
18	0.795655	0.735740	1.354194	0.535200	2048	0.000977	relu	xent	sp
19	0.748870	0.753620	1.375414	0.541400	2048	0.000977	relu	xent	sp
20	0.703596	0.771620	1.399809	0.539800	2048	0.000977	relu	xent	sp
1	1.919300	0.314760	1.696303	0.392300	256	0.001953	relu	xent	sp
2	1.629098	0.424800	1.561266	0.448400	256	0.001953	relu	xent	sp
3	1.512538	0.467440	1.485515	0.476000	256	0.001953	relu	xent	sp
4	1.431069	0.496120	1.434700	0.492500	256	0.001953	relu	xent	sp
5	1.366743	0.521600	1.406502	0.505200	256	0.001953	relu	xent	sp
6	1.312793	0.540900	1.391836	0.510400	256	0.001953	relu	xent	sp
7	1.266665	0.555600	1.397131	0.510700	256	0.001953	relu	xent	sp
8	1.222132	0.570520	1.365057	0.521100	256	0.001953	relu	xent	sp
9	1.181097	0.585420	1.361100	0.524500	256	0.001953	relu	xent	sp
10	1.140328	0.600700	1.356071	0.529800	256	0.001953	relu	xent	sp
11	1.100212	0.614840	1.355234	0.532100	256	0.001953	relu	xent	sp
12	1.064348	0.628120	1.376018	0.528700	256	0.001953	relu	xent	sp
13	1.032235	0.638980	1.363157	0.533500	256	0.001953	relu	xent	sp
14	0.994679	0.654200	1.381688	0.532200	256	0.001953	relu	xent	sp
15	0.963150	0.664480	1.391464	0.524500	256	0.001953	relu	xent	sp
16	0.929020	0.676600	1.395207	0.527500	256	0.001953	relu	xent	sp
17	0.899128	0.687060	1.419968	0.529400	256	0.001953	relu	xent	sp
18	0.862019	0.698420	1.441257	0.529900	256	0.001953	relu	xent	sp
19	0.831172	0.711540	1.474996	0.524300	256	0.001953	relu	xent	sp
20	0.797265	0.723600	1.473527	0.528400	256	0.001953	relu	xent	sp
1	1.809472	0.364260	1.612340	0.436400	2048	0.001953	relu	xent	sp
2	1.547051	0.459740	1.503185	0.469600	2048	0.001953	relu	xent	sp
3	1.430220	0.499500	1.428664	0.498100	2048	0.001953	relu	xent	sp
4	1.335247	0.535580	1.396610	0.507300	2048	0.001953	relu	xent	sp
5	1.256736	0.563620	1.368563	0.515200	2048	0.001953	relu	xent	sp
6	1.179883	0.590660	1.365465	0.520300	2048	0.001953	relu	xent	sp
7	1.113442	0.614760	1.342466	0.527000	2048	0.001953	relu	xent	sp
8	1.042011	0.642520	1.331260	0.541600	2048	0.001953	relu	xent	sp
9	0.973863	0.666820	1.314720	0.545800	2048	0.001953	relu	xent	sp
10	0.910044	0.691460	1.329322	0.542400	2048	0.001953	relu	xent	sp
11	0.847664	0.714160	1.355186	0.539200	2048	0.001953	relu	xent	sp
12	0.781358	0.738540	1.389045	0.537400	2048	0.001953	relu	xent	sp
13	0.721759	0.757780	1.437026	0.536700	2048	0.001953	relu	xent	sp
14	0.659284	0.780640	1.432680	0.544000	2048	0.001953	relu	xent	sp
